sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.9878;3.5482;9.8156;-2.1591;2.8922;9.1183;-1.3411;0.9228;0.471;-1.1936;-1.8872;1.1144;0.0;26.08;-13.41;-35.64;268.91;-17.15;13.32;5.0;40.226;47.665234;9.172355;458.69;NaN;0.0;3.790092;;14 / 19;15;2022-01-17 18:59:06:862
-1.9878;3.5482;9.8156;-2.1591;2.8922;9.1183;-1.3411;0.9228;0.471;-1.1936;-1.8872;1.1144;0.0;26.08;-13.41;-35.64;268.91;-17.15;13.32;5.0;40.226;47.665234;9.172355;458.69;NaN;0.0;3.790092;;14 / 19;45;2022-01-17 18:59:06:892
-1.9878;3.5482;9.8156;0.2061;1.6345;9.6673;-1.3411;0.9228;0.471;-1.1936;-1.8872;1.1144;0.0;26.08;-13.41;-35.64;268.91;-17.15;13.32;5.0;40.226;47.665234;9.172355;458.69;NaN;0.0;3.790092;;14 / 19;75;2022-01-17 18:59:06:922
2.566;0.3118;10.3645;0.2061;1.6345;9.6673;-1.3411;0.9228;0.471;-1.1936;-1.8872;1.1144;0.0;15.08;-9.75;-41.51;259.61;-9.59;-1.22;5.0;40.226;47.665234;9.172355;458.69;NaN;0.0;3.790092;;14 / 19;105;2022-01-17 18:59:06:952
2.566;0.3118;10.3645;0.2061;1.6345;9.6673;-0.7866;0.3286;0.0956;-1.1936;-1.8872;1.1144;0.0;15.08;-9.75;-41.51;259.61;-9.59;-1.22;5.0;40.226;47.665234;9.172355;458.69;NaN;0.0;3.790092;;14 / 19;134;2022-01-17 18:59:06:981
2.566;0.3118;10.3645;0.2061;1.6345;9.6673;-0.7866;0.3286;0.0956;0.1214;-2.0053;-0.1586;0.0;15.08;-9.75;-41.51;259.61;-9.59;-1.22;5.0;40.226;47.665234;9.172355;458.69;NaN;0.0;3.790092;;14 / 19;164;2022-01-17 18:59:07:011
2.566;0.3118;10.3645;0.2061;1.6345;9.6673;-0.7866;0.3286;0.0956;0.1214;-2.0053;-0.1586;0.0;15.08;-9.75;-41.51;259.61;-9.59;-1.22;5.0;44.55;47.665234;9.172355;458.69;NaN;0.0;3.790092;;14 / 19;195;2022-01-17 18:59:07:042
5.6659;-0.2897;8.4791;2.9744;1.0292;9.2878;-0.7866;0.3286;0.0956;0.1214;-2.0053;-0.1586;0.0;15.08;-9.75;-41.51;259.61;-9.59;-1.22;5.0;44.55;47.665234;9.172355;458.69;NaN;0.0;3.790092;;14 / 19;224;2022-01-17 18:59:07:071
5.6659;-0.2897;8.4791;2.9744;1.0292;9.2878;-0.7866;0.3286;0.0956;0.1214;-2.0053;-0.1586;0.0;4.01;-10.27;-43.14;251.16;-6.02;-17.76;5.0;44.55;47.665234;9.172355;458.69;NaN;0.0;3.790092;;14 / 19;254;2022-01-17 18:59:07:101
5.6659;-0.2897;8.4791;2.9744;1.0292;9.2878;1.6152;-1.2595;-1.2971;0.1214;-2.0053;-0.1586;0.0;4.01;-10.27;-43.14;251.16;-6.02;-17.76;5.0;44.55;47.665234;9.172355;458.69;NaN;0.0;3.790092;;14 / 19;285;2022-01-17 18:59:07:132
