sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.6614;4.8848;10.8409;-1.7899;2.1856;9.3909;3.5075;1.4982;2.0212;0.8997;-1.113;-0.9028;0.6225;-14.08;-25.91;-38.42;118.73;-9.54;16.42;5.0;41.522;47.666527;9.163702;441.43;NaN;0.0;3.790092;;17 / 20;10;2022-01-19 18:50:48:853
10.6315;12.311;-0.7458;1.8428;8.8245;3.8603;1.7331;-3.3684;-0.8462;0.3748;1.9062;0.5616;0.6225;-28.59;-39.45;-5.01;104.59;-58.61;-23.94;0.0;38.09;47.666523;9.163706;441.74;NaN;0.0;3.790092;;17 / 20;509;2022-01-19 18:50:49:352
6.0633;6.696;-0.3603;2.3408;9.4821;-0.8842;-0.9325;-0.4584;-0.7359;1.2245;-0.0383;-0.3975;0.6225;-33.0;-34.89;10.56;13.14;-72.74;-99.77;0.0;57.43;47.666523;9.163706;441.74;NaN;0.0;3.790092;;17 / 20;1009;2022-01-19 18:50:49:852
-4.1964;9.9222;-4.0037;1.3201;8.8198;-4.0791;-0.4083;-1.2266;0.7154;0.6656;-0.449;-0.5116;0.6225;-30.75;-29.64;21.92;322.53;-66.58;-148.76;0.0;54.684;47.666523;9.163706;441.74;NaN;0.0;3.790092;;17 / 20;1508;2022-01-19 18:50:50:351
1.7418;8.2408;-5.7168;1.454;8.4155;-4.8204;1.0886;-0.258;-0.1201;0.026;0.2454;0.4007;0.6225;-24.53;-26.96;32.87;320.24;-59.52;-165.57;0.0;58.1;47.666523;9.163706;441.74;NaN;0.0;3.790092;;17 / 20;2008;2022-01-19 18:50:50:851
4.0294;7.51;-5.053;3.9979;8.0644;-3.8926;-0.0372;-1.0051;-1.3233;-0.1242;0.2751;0.0598;0.6225;-36.81;-23.27;21.34;332.59;-55.32;-134.24;0.0;41.791;47.666523;9.163706;441.74;NaN;0.0;3.790092;;17 / 20;2509;2022-01-19 18:50:51:352
3.0305;5.2942;-4.6819;4.2632;8.293;-3.0367;-0.5502;-0.4438;-1.2975;-0.3296;-0.2804;-0.0401;0.6225;-36.96;-23.79;18.69;344.4;-56.35;-125.28;0.0;45.143;47.666523;9.163706;441.74;NaN;0.0;3.790092;;17 / 20;3008;2022-01-19 18:50:51:851
4.3006;9.0579;3.4584;3.5549;9.1387;0.13;2.7846;3.9564;-0.4108;-2.4333;-1.6522;-0.3145;0.6225;-33.23;-35.79;9.69;32.87;-68.73;-87.91;0.0;52.812;47.66652;9.163715;441.83;NaN;2.48;3.790092;117.9;17 / 20;3508;2022-01-19 18:50:52:351
-1.312;12.6677;6.8959;1.4024;9.0317;3.554;2.3872;3.1509;1.2228;-0.6327;0.6078;-0.9907;0.6225;-21.15;-45.11;0.15;93.77;-67.44;-47.3;0.0;46.378;47.66652;9.163715;441.83;NaN;2.48;3.790092;117.9;17 / 20;4008;2022-01-19 18:50:52:851
2.7839;8.8448;5.7341;0.9991;8.6562;4.4991;0.6259;2.0075;-0.8152;0.7178;-0.5129;-0.3877;0.6225;-17.36;-47.21;-3.97;128.78;-63.54;-18.72;0.0;43.427;47.66651;9.163739;442.31;NaN;8.39;3.790092;119.4;17 / 20;4507;2022-01-19 18:50:53:350
